"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Lux","Support",1,"1.1%","1.1%","2.2%","100%","0%",2,2,8,5,"58.8%","22.2%","0%",260,308,23,3.7,"11.2%",182,"13.6%","13.8%",0.98,0.29
"Nautilus","Middle",1,"1.1%","12.2%","47.8%","0%","100%",1,6,6,1.2,"77.8%","24.0%","0%",-415,-165,-22,7.3,"27.3%",383,"21.2%","22.4%",0.59,0.24
"Ornn","Middle",1,"1.1%","27.8%","55.6%","0%","0%",1,2,4,2.5,"62.5%","11.8%","0%",-203,-29,-11,7.4,"19.7%",336,"14.5%","17.3%",0.4,0.17
"Pantheon","Jungle",1,"1.1%","3.3%","6.7%","100%","100%",7,2,9,8,"66.7%","33.3%","0%",178,-679,-15,5.1,"14.5%",307,"11.6%","17.8%",0.32,0.08
"Skarner","Jungle",1,"1.1%","1.1%","2.2%","100%","100%",0,0,8,8,"88.9%","0.0%","0%",-165,-296,-1,5.6,"15.3%",53,"3.0%","17.0%",1.31,0.55
"Sona","ADC",1,"1.1%","6.7%","7.8%","100%","0%",2,0,9,11,"64.7%","0.0%","0%",-803,-659,-62,3.6,"10.1%",218,"16.3%","15.4%",1.16,0.4
"Sylas","Top",1,"1.1%","0.0%","3.3%","100%","100%",3,0,9,12,"66.7%","0.0%","100%",-94,30,-1,7.9,"22.8%",428,"21.1%","20.0%",0.36,0.22
"Twitch","ADC",1,"1.1%","3.3%","4.4%","100%","100%",9,1,4,13,"72.2%","16.7%","100%",260,-405,9,10.1,"31.3%",641,"31.5%","28.7%",0.36,0.41
"Viktor","Middle",1,"1.1%","0.0%","1.1%","0%","100%",1,1,1,2,"66.7%","11.1%","100%",429,-2,7,10.4,"30.0%",397,"27.8%","30.1%",0.48,0.15
"Yasuo","Middle",1,"1.1%","3.3%","4.4%","0%","0%",0,2,0,0,"-","25.0%","0%",-81,-40,0,10.1,"26.4%",131,"10.4%","25.2%",0.39,0.2
"Ziggs","Middle",1,"1.1%","1.1%","2.2%","0%","100%",3,3,6,3,"81.8%","16.7%","0%",95,-89,2,10.1,"32.1%",611,"37.3%","29.6%",0.36,0.06
"Lillia","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tristana","-",0,"0%","2.2%","2.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Zilean","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
